id,document,topic_id,topic_name,expected_entities,predicted_entities
chunk_60061,HP to open research center in South Korea Over the next five years the company will spend 40 million on its new lab which will focus on the digital home,0,its | to | on | the | oil,,South Korea:GPE; the next five years:DATE; 40 million:CARDINAL
chunk_74333,Suns Drop SuperSonics 10393 in Preseason AP AP Quentin Richardson has expressed his interest in being a starter but was an effective sixth man Tuesday night scoring 15 points in the Phoenix Suns 10393 preseason victory over shorthanded Seattle,1,the | in | his | at | to,,10393:DATE; Preseason AP AP:ORG; Quentin Richardson:PERSON; sixth:ORDINAL; Tuesday:DATE; night:TIME; 15:CARDINAL; the Phoenix Suns:LOC; 10393:DATE; Seattle:GPE
chunk_117927,Nikkei Drops Exporters Hurt by Yen TOKYO Reuters Tokyo stocks slipped on Thursday as exporters such as Sony Corp and Honda Motor Co Ltd succumbed to the weakness of the dollar against the yen and gave up some of their gains of the previous three sessions,0,its | to | on | the | oil,,Nikkei Drops:ORG; Yen TOKYO:ORG; Reuters Tokyo:ORG; Thursday:DATE; Sony Corp:ORG; Honda Motor Co Ltd:ORG; three:CARDINAL
chunk_84415,Menatep plans to sue Kremlin Yukos 39 core shareholder Group Menatep has taken the first step toward suing the Russian government the Moscow Times reported this weekend,17,yukos | oil | russian | russia | moscow,,Kremlin Yukos:PERSON; 39:CARDINAL; Group Menatep:ORG; first:ORDINAL; Russian:NORP; the Moscow Times:ORG; this weekend:DATE
chunk_58563,Seven die in Japan 39suicide pact 39 Japanese police have found the bodies of seven young people three women and four men in a van in the Saitama mountains to the west of Tokyo,-1,Outlier / Unclassified,,Seven:CARDINAL; Japan:GPE; 39suicide:CARDINAL; 39:CARDINAL; Japanese:NORP; seven:CARDINAL; three:CARDINAL; four:CARDINAL; Saitama:NORP; Tokyo:GPE
chunk_71869,Hynix Profit Soars Forecasts Better Fourth Quarter Update4 Hynix Semiconductor Inc the world 39s secondlargest maker of computermemory chips said profit quadrupled in the thirdquarter and will rise in the current period on increased demand for its products,0,its | to | on | the | oil,,Hynix Profit Soars Forecasts:ORG; Hynix Semiconductor Inc:ORG; 39s:CARDINAL
chunk_116425,Lunar Ice Cold Traps Eyed for Exploration SPACEcom SPACEcom BOULDER COLORADO Think of it as some sort of extraterrestrial axiom Look for places on a celestial body where the Sun doesnt shine,6,space | nasa | station | genesis | crew,,Lunar Ice Cold Traps Eyed for Exploration:ORG; Sun:ORG
chunk_2687,Eurozone inflation rate falls in July BRUSSELS August 18 Xinhuanet Eurozone annual inflation fell from 24 percent in June to 23 percent in July 2004 the Statistical Office of the European Union Eurostat reported on Wednesday,0,its | to | on | the | oil,,July:DATE; August 18:DATE; annual:DATE; 24 percent:PERCENT; June:DATE; 23 percent:PERCENT; July 2004:DATE; the Statistical Office of the European Union Eurostat:ORG; Wednesday:DATE
chunk_109615,J J in Talks to Buy Guidant Sources Reuters Reuters Health care and consumerproducts maker Johnson Johnson is in negotiations to acquiremedicaldevice maker Guidant Corp sources familiar with thesituation said on Tuesday,-1,Outlier / Unclassified,,Johnson Johnson:PERSON; Guidant Corp:ORG; Tuesday:DATE
chunk_90451,Red Crescent barred from city Baghdad US troops were preventing a Red Crescent convoy of emergency aid from reaching helpless residents inside Fallujah on Saturday after allowing it as far as the main hospital a spokesperson said,-1,Outlier / Unclassified,,Red Crescent:ORG; Baghdad:GPE; US:GPE; Red Crescent:ORG; Fallujah:GPE; Saturday:DATE
chunk_68301,Capgemini plans 500 more jobs in India by April Indian subsidiary has grown from around 300 staff early last year to about 2000 today and serves over 100 customers around the world,0,its | to | on | the | oil,,500:CARDINAL; India:GPE; April:CARDINAL; Indian:NORP; around 300:CARDINAL; early last year:DATE
chunk_18353,Annan welcomes court decision freeing Anwar NEW YORK UN SecretaryGeneral Kofi Annan on Friday welcomed a Malaysian court decision releasing exdeputy prime minister Anwar Ibrahim from prison and expressed the hope that his health would recover soon,-1,Outlier / Unclassified,,Annan:PERSON; Anwar NEW:PERSON; UN:ORG; Kofi Annan:PERSON; Friday:DATE; Malaysian:NORP; Anwar Ibrahim:PERSON
chunk_52453,Yum Tastes Good I have seen the threeheaded monster Yum Brands NYSE YUM likes to call its quotmultibrand strategy quot By grouping together Pizza Hut Taco Bell and KFC restaurants in one location Yum,-1,Outlier / Unclassified,,Yum Brands NYSE:ORG; YUM:ORG; Pizza Hut Taco Bell:ORG; KFC:ORG; Yum:ORG
chunk_72730,Sony launches music players with MP3 support Sony has released the first of its digital audio players to support the popular MP3 format marking a significant shift in its music strategy,0,its | to | on | the | oil,,Sony:ORG; Sony:ORG; first:ORDINAL
chunk_80804,Isiah giving Crawford his shot to score with fans The new young guy for the Knicks this season 39s new young guy fast and hungry and talented is Jamal Crawford He knows all about bad teams because he has played his whole NBA career with the Bulls,1,the | in | his | at | to,,Crawford:ORG; Knicks:ORG; this season 39s:DATE; NBA:ORG; Bulls:ORG
chunk_79641,UPDATE 1Argentina files 100 bln restructuring with US SEC Argentina submitted on Monday to the US Securities and Exchange Commission its offer to restructure 100 billion in defaulted debt clearing the way for a worldrecord debt swap Economy Ministry spokesman,-1,Outlier / Unclassified,,1Argentina:CARDINAL; 100:CARDINAL; US:GPE; SEC:ORG; Argentina:GPE; Monday:DATE; the US Securities and Exchange Commission:ORG; 100 billion:MONEY; Economy Ministry:ORG
chunk_86080,Dozens casualties in Nepal bomb explosion A heavy bomb exploded near a government office in the Nepal capital wounding at least 38 people According to the police three men left a bomb on the first floor of the office of the Employees Provident Fund,2,iraq | gaza | killed | in | israeli,,Dozens:CARDINAL; Nepal:GPE; Nepal:GPE; at least 38:CARDINAL; three:CARDINAL; first:ORDINAL; the Employees Provident Fund:ORG
chunk_21439,British Airways selling Qantas stake Australia 39s Qantas Airways Limited said Wednesday British Airways is selling its 1825 percent stake in Qantas Qantas asked the Australian Stock Exchange to stop trading,-1,Outlier / Unclassified,,British Airways:ORG; Qantas:ORG; Australia:GPE; 39s:DATE; Qantas Airways Limited:ORG; Wednesday:DATE; British Airways:ORG; 1825 percent:PERCENT; Qantas Qantas:ORG; the Australian Stock Exchange:ORG
chunk_88292,Major telcos tout WiFi roaming pact WiFi hotspot owners BT Openzone Singapore 39s StarHub Malaysia 39s maxis Japan 39s NTT Com TMobile Australia 39s Telstra and Telecom Italia have entered into a broad roaming agreement to allow each company 39s customers to access the others 39 networks,-1,Outlier / Unclassified,,telcos tout WiFi:LAW; WiFi:PERSON; BT Openzone Singapore:ORG; 39s:CARDINAL; StarHub:ORG; Malaysia 39s:DATE; Japan:GPE; NTT:ORG; Australia:GPE; 39s:DATE; Telstra:NORP; Telecom Italia:ORG; 39s:CARDINAL; 39:CARDINAL
chunk_108541,Update 2 CalPERS Ousts Harrigan As Its President The nation 39s largest public pension fund fired its president Wednesday following a tumultuous year in which he became an outspoken advocate for reform in the board rooms of corporate America,-1,Outlier / Unclassified,,2:CARDINAL; Ousts Harrigan:PERSON; 39s:CARDINAL; Wednesday:DATE; a tumultuous year:DATE; America:GPE
chunk_30157,Hurricane Ivan Blasts Alabama Kills 11 GULF SHORES Ala Hurricane Ivan slammed into the Gulf Coast early Thursday with 130 mph wind launching tornadoes washing out a major bridge and hurling metal signs through the night,4,hurricane | haiti | storm | ivan | japan,,Ivan Blasts:PERSON; 11:CARDINAL; the Gulf Coast:LOC; early Thursday:DATE; 130 mph:QUANTITY; the night:TIME
chunk_47439,Springsteen Kicks Off Vote for Change PHILADELPHIA Two of the biggest forces in rock music over the last 20 years were plugging in the amplifiers Friday to kick off a highvolume effort to oust President Bush on Nov 2,3,kerry | bush | john | ap | president,,Springsteen Kicks Off Vote for Change:PERSON; Two:CARDINAL; the last 20 years:DATE; Friday:DATE; Bush:PERSON; Nov 2:DATE
chunk_24828,UPDATE 2Milan and Inter held on Serie A opening day Italian champions AC Milan and title challengers Inter Milan were both held to 22 draws against unfancied opponents as the Serie A season got off to a surprising start on Saturday,1,the | in | his | at | to,,Serie A:ORG; Italian:NORP; AC Milan:ORG; Inter Milan:ORG; 22:CARDINAL; Saturday:DATE
chunk_111289,A Rousing Comeback For Home of the Beatles Two decades ago when this seaport city was mired in a deep and seemingly endless recession Mike Byrne a local musician and businessman sought public funds to help build an exhibition dedicated to Liverpools most famous native sons the Beatles,0,its | to | on | the | oil,,Two decades ago:DATE; Mike Byrne:PERSON; Liverpools:ORG
chunk_107195,Indiana Ole Miss BYU Dismiss Coaches Gerry DiNardo Gary Crowton and David Cutcliffe all became unemployed coaches Wednesday upping the total coaching vacancies in Division IA to 15,1,the | in | his | at | to,,Indiana Ole Miss BYU Dismiss:ORG; Gerry DiNardo:PERSON; Gary Crowton:PERSON; David Cutcliffe:PERSON; Wednesday:DATE; Division IA:ORG; 15:CARDINAL
chunk_70643,Japan US agree to restart imports of some American beef Japan and the United States agreed yesterday to resume imports of some American beef halted since December after a case of mad cow disease,-1,Outlier / Unclassified,,Japan:GPE; US:GPE; American:NORP; Japan:GPE; the United States:GPE; yesterday:DATE; American:NORP; December:DATE
chunk_7112,Somali Parliament Sworn In as Clan Dispute Flares NAIROBI Aug 22 Members of a new Somali transitional parliament were sworn in Sunday a key step toward establishing the country 39s first national government since 1991,-1,Outlier / Unclassified,,Clan Dispute Flares:ORG; 22:CARDINAL; Somali:NORP; Sunday:DATE; 39s:DATE; first:ORDINAL; 1991:DATE
chunk_112209,Russian stocks lose 10 billion in value Nearly 10 billion was wiped off Russian stocks Thursday the Moscow Times reported The huge fall was caused by investors 39 fears that a surprise 158 million tax claim against Russia 39s No,0,its | to | on | the | oil,,Russian:NORP; 10 billion:MONEY; Nearly 10 billion:MONEY; Russian:NORP; Thursday:DATE; the Moscow Times:ORG; 39:CARDINAL; 158 million:CARDINAL; Russia:GPE
chunk_119964,Why Sprint And Nextel Got Hitched BusinessWeek Online BusinessWeek Online In the world of bigtime telecom the Baby Bells have been hogging the spotlight as they bulk up to compete against an onslaught of new technology and their archrivals the cable companies For competitors hovering outside the Bells territory that sends a stark message Team up or get smashed Sprint Corp and Nextel Communications Inc chose the former announcing on Dec 15 a 3635 billion deal to merge into the thirdlargest,0,its | to | on | the | oil,,Nextel Got Hitched:PERSON; Bells:LOC; Sprint Corp:ORG; Nextel Communications Inc:ORG; Dec 15:DATE
chunk_77444,Arafat Arrives in France for Hospital Treatment A mysterious ailment has weakened Yasir Arafat and raised concerns that Palestinian politics could be plunged into turmoil,2,iraq | gaza | killed | in | israeli,,Arafat:PERSON; France:GPE; Yasir Arafat:PERSON; Palestinian:NORP
chunk_25984,Thatcher challenges coup questioning South Africa 39s high court will hear a challenge on September 21 to a subpoena demanding Mark Thatcher answer questions from Equatorial Guinea about a suspected coup plot in the oilrich country his lawyer says,27,thatcher | guinea | coup | equatorial | zimbabwe,,Thatcher:PERSON; South Africa:GPE; September 21:DATE; Mark Thatcher:PERSON; Equatorial Guinea:GPE
chunk_22536,Season lidlifter renews heated conference rivalry Season openers like tonights dont get much more exciting than this The NFL schedulemakers knew what they were doing when they sent,-1,Outlier / Unclassified,,Season:DATE; NFL:ORG
chunk_72638,Firefox aims for 10 percent of Web surfers Bart Decrem marketing contact for the Mozilla Foundation told ZDNet UK on Friday that he expects the browser 39s market share to reach 10 percent by the end of 2005,19,browser | firefox | mozilla | explorer | internet,,10 percent:PERCENT; Bart Decrem:PERSON; the Mozilla Foundation:ORG; ZDNet:GPE; UK:GPE; Friday:DATE; 39s:CARDINAL; 10 percent:PERCENT; the end of 2005:DATE
chunk_10658,Hall of Fame basketball player Calvin Murphy acquitted of sexual ltbgtltbgt Hall of Fame basketball player Calvin Murphy was jubilant after a jury cleared him of all charges that he sexually abused five of his 10 daughters more than a decade ago,-1,Outlier / Unclassified,,Calvin Murphy:PERSON; Calvin Murphy:PERSON; five:CARDINAL; 10:CARDINAL; more than a decade ago:DATE
chunk_109480,5 blasts hit Madrid FIVE blasts hit separate Madrid petrol stations yesterday causing no injuries but snarling peakhour traffic The incidents followed a phoned warning from a caller claiming to represent the Basque separatist group ETA police said,52,eta | basque | spain | madrid | spanish,,5:CARDINAL; Madrid:GPE; FIVE:CARDINAL; Madrid:GPE; yesterday:DATE; Basque:NORP; ETA:ORG
chunk_33075,Australia Incitec Considers US600M Brunei Ammonia JV 2 MELBOURNE Dow JonesAustralian fertilizer company Incitec Pivot Ltd IPLAU said Monday it is part of a group selected to complete a feasibility study into the construction of an ammonia and urea manufacturing complex in Brunei,0,its | to | on | the | oil,,Australia:GPE; 2:CARDINAL; Incitec Pivot Ltd:ORG; Monday:DATE; Brunei:GPE
chunk_7105,Gunmen attack police station Chechnya MOSCOW Gunmen attacked a police station and polling sites in the Chechen capital Saturday night killing several people eight days before a special election to replace the region 39s assassinated president according to Russian news agencies,11,russia | putin | school | ukraine | russian,,Chechnya:GPE; MOSCOW:GPE; Chechen:NORP; Saturday night:TIME; several people eight days:DATE; Russian:NORP
chunk_117451,Prime minister announces new 1700kilometre security zone off Australia Canadian Press Canadian Press SYDNEY Australia AP Australia plans to enforce a maritime security zone more than 1700 kilometres out to sea far beyond its territorial waters in a move to boost defences against possible terror attacks on its soil and offshore oil and gas facilities Prime Minister John Howard said Wednesday,-1,Outlier / Unclassified,,1700kilometre:CARDINAL; Australia Canadian Press Canadian Press SYDNEY Australia AP Australia:ORG; more than:CARDINAL; John Howard:PERSON; Wednesday:DATE
chunk_53793,Walking a Bit More May Help Keep Weight Off By JOSEPH B VERRENGIA DENVER AP A year ago Dr,5,drug | vioxx | merck | heart | arthritis,,JOSEPH B:PERSON; A year ago:DATE
chunk_31641,Ford Increases Expectations for Revenue The Ford Motor Company raised its thirdquarter earnings forecast and announced a restructuring plan for its struggling Jaguar division,-1,Outlier / Unclassified,,Ford:ORG; Ford Motor Company:ORG; Jaguar:ORG
